,kubios_lf,kubios_hf,kubios_lf/hf
rest,302.2614,222.8527,1.3563
boredom,1246.6709,389.1825,3.2033
flow,442.1186,389.6817,1.1346
ultra,293.8827,640.184,0.4591
overload,228.2546,531.1482,0.4297
