,kubios_lf,kubios_hf,kubios_lf/hf
rest,1101.2379,708.7297,1.5538
boredom,2711.5493,977.5043,2.774
flow,458.0584,475.2642,0.9638
ultra,436.7013,385.2718,1.1335
overload,166.5154,415.3065,0.4009
