,FpZ,FC3,FC4,FCz,O1,O2,Fp2,mean_all,mean_3ch,concentration_FC3,concentration_FC4,concentration_FCz,max_concentration_FC3,max_concentration_FC4,max_concentration_FCz,concentration_mean,max_concentration_mean
rest,0.17097872503274936,0.35137405440686975,0.2251896515937749,0.3989601398639469,0.15204485268123935,0.14249164558059826,0.14875167053435584,0.22711296281336207,0.3251746152881972,,,,,,,,
boredom,0.22930005206415208,0.3634282741301579,0.20766348137312698,0.38782818942036384,0.18891345037799634,0.13906894334529823,0.1945337020588839,0.18916255930164405,0.31963998164121626,-0.012054219723288129,0.017526170220647924,0.01113195044358306,0.29174185094248706,0.265224174608126,0.27145679607445505,0.005534633646980952,0.27614094054168936
flow,0.19714044881714357,0.34286331255576036,0.2608274480396404,0.4150677807849907,0.16446978211568342,0.17499673983051164,0.1556875877451762,0.17740494627593664,0.3395861804601305,0.008510741851109394,-0.03563779644586551,-0.016107640921043775,0.25948056306393397,0.25639214569897206,0.23987780744050102,-0.014411565171933297,0.251916838734469
flow_ultra,0.23489918877495486,0.37742196287346447,0.3402868138265109,0.4296431787492223,0.18960304145758458,0.17655784060534704,0.19074731662542782,0.181181503449172,0.3824506518163992,-0.026047908466594716,-0.11509716223273597,-0.030683038885275404,0.25948056306393397,0.25639214569897206,0.23987780744050102,-0.05727603652820203,0.251916838734469
overload,0.3132984731381271,0.3954398742215668,0.27952701451970163,0.3987929071574844,0.13773603819086472,0.1410495652762825,0.2635644565038758,0.20289490657000445,0.35791993196625094,-0.04406581981469704,-0.054337362925926724,0.00016723270646251676,0.3411167702922461,0.223055133753832,0.369575498144706,-0.03274531667805375,0.3112491340635947
