,kubios_lf,kubios_hf,kubios_lf/hf
rest,156.3747,65.1401,2.4006
practice,,,
boredom,379.4273,79.6192,4.7655
flow,391.9354,79.1523,4.9517
ultra,466.3406,108.5161,4.2974
overload,363.3393,85.5355,4.2478
