,kubios_lf,kubios_hf,kubios_lf/hf
rest,4671.0559,1599.5355,2.9203
boredom,55921.8636,84063.3169,0.6652
flow,796.1195,1560.0865,0.5103
ultra,869.6248,2534.8087,0.3431
overload,719.8452,2043.262,0.3523
