,kubios_lf,kubios_hf,kubios_lf/hf
rest,1009.9645,408.754,2.4708
practice,,,
boredom,429.9263,322.7564,1.332
flow,362.0152,248.7671,1.4552
ultra,371.3618,403.221,0.921
overload,126.8618,354.2862,0.3581
