,kubios_lf,kubios_hf,kubios_lf/hf
rest,1098.42,482.2717,2.2776
boredom,950.0359,283.9563,3.3457
flow,950.7988,178.9262,5.3139
ultra,585.0184,138.6849,4.2183
overload,1147.0479,260.534,4.4027
