,FpZ,FC3,FC4,FCz,O1,O2,Fp2,mean_all,mean_3ch,concentration_FC3,concentration_FC4,concentration_FCz,max_concentration_FC3,max_concentration_FC4,max_concentration_FCz,concentration_mean,max_concentration_mean
rest,0.15068737250607825,0.3288439214898478,0.34681053700790515,0.43801732785471026,0.29314637508902003,0.2967728456078527,0.15115016705147347,0.28648979237241257,0.3712239287841544,,,,,,,,
boredom,0.15365559978751195,0.38158375868922684,0.40446805892925525,0.5122576428557348,0.45579394448035243,0.386639192999505,0.13770840867831563,0.1844764937594741,0.4327698201580723,-0.052739837199379025,-0.0576575219213501,-0.07424031500102457,0.09535603381212998,0.22059401999508294,0.11996822029369802,-0.061545891373917895,0.1453060913669703
flow,0.24868488887854495,0.47053843734293427,0.4959536811080626,0.5967362500284422,0.26579835147347064,0.2706741110494284,0.16768372842174847,0.1476649473987468,0.5210761228264796,-0.14169451585308646,-0.14914314410015744,-0.15871892217373196,0.173853019806105,0.058746027913351984,-0.008863893583552995,-0.14985219404232528,0.074578384711968
flow_ultra,0.22675126100794357,0.34539773442871413,0.41022579101616724,0.4933572044332169,0.2452321535665869,0.22007730910904577,0.1585654365103218,0.18809488427754195,0.41632690995936605,-0.01655381293886632,-0.06341525400826209,-0.05533987657850664,0.21802407050570002,0.22617394699920496,0.23247320658907994,-0.045102981175211686,0.225557074697995
overload,0.10648879855387838,0.2980686566264574,0.2868998368928309,0.46571085831169984,0.33654475896546393,0.33271242148059327,0.13883507751142948,0.18550958978145535,0.35022645061032937,0.03077526486339044,0.05991070011507427,-0.02769353045698958,0.150715316352066,0.30298268358232194,0.09634714432874497,0.02099747817382504,0.1833483814210443
