,kubios_lf,kubios_hf,kubios_lf/hf
rest,477.804,296.6335,1.6108
boredom,392.7293,303.8376,1.2926
flow,13.0707,41.7063,0.3134
ultra,66.6698,55.0713,1.2106
overload,314.0567,84.3223,3.7245
