,kubios_lf,kubios_hf,kubios_lf/hf
rest,1314.2468,609.9378,2.1547
boredom,1207.2062,414.7259,2.9109
flow,340.5623,214.1086,1.5906
ultra,448.3828,452.3792,0.9912
overload,644.6556,380.663,1.6935
