,bpm,ibi,sdnn,sdsd,rmssd,pnn20,pnn50,hr_mad,sd1,sd2,s,sd1/sd2,breathingrate,vlf,lf,hf,lf/hf,p_total,vlf_perc,lf_perc,hf_perc,lf_nu,hf_nu,min_lf,min_hf,lf_diff,hf_diff,lfhf_diff
rest,75.70916204760353,792.5064599483204,39.56288076589542,16.750554097666775,28.0318102059016,0.4481865284974093,0.05958549222797927,26.0,19.821449225319775,52.39311216532044,3262.567257938553,0.3783216611140692,0.13042060645582002,515.8764364179184,238.50077098956658,225.14061712289552,1.05934137534756,979.5178245303805,52.66636537882809,24.348793356967573,22.984841264204338,51.44078529324806,48.55921470675194,278.70883262382637,188.22967771353046,0,0,0
boredom,72.02386245139805,833.057239057239,47.349976691798865,22.70152727812996,37.680556316545065,0.5878378378378378,0.1891891891891892,34.0,26.643950284110414,61.5280656488636,5150.172185601707,0.43303734650404235,0.1,372.97554942450813,791.4192259207555,367.8639871175852,2.151390877160758,1532.2587624628486,24.341551085341,51.65049437528958,24.007954539369422,68.26797947384588,31.732020526154113,971.1552409154538,346.14921261720144,-552.9184549311889,-142.7233699946897,-1.092049501813198
flow,71.4270183296732,840.0182648401826,40.03514021186564,21.57957586122563,38.69886084452119,0.6064073226544623,0.2288329519450801,31.0,27.364065992091913,49.60147299207264,4264.077363517206,0.5516784954443846,0.13589910850184822,760.1359512580651,366.52487092665984,390.6311547547848,0.9382888857309463,1517.2919769395098,50.09819881808876,24.156515456304437,25.745285725606795,48.408103283175414,51.59189671682459,351.0039368911963,105.24888815902213,-128.02409993709327,-165.49053763188928,0.12105248961661375
flow_ultra,69.49436855978912,863.3793103448276,35.65390513321807,26.41916391981817,46.968074263269514,0.6875,0.3541666666666667,28.0,33.21030536920805,37.86947612817244,3951.045572183001,0.8769676468933706,0.36666666666666664,51.02609603085514,139.02892511736331,495.57511406558206,0.28054057028167256,685.6301352138005,7.442218976408271,20.277540028780948,72.2802409948108,21.90797986353246,78.09202013646755,268.3993578459343,481.60209023393395,99.47184587220326,-270.43449694268656,0.7788008050658874
overload,68.62371330537552,874.3333333333334,41.74433439235365,27.572105092339424,53.74222389234729,0.7478753541076487,0.46742209631728043,30.0,38.001274702799506,45.214638882165104,5397.928205588145,0.8404639657044589,0.3877096055054764,287.60634133456716,268.25822281372945,596.1625325278878,0.44997497859559066,1152.0270966761846,24.965241022920875,23.28575634962971,51.74900262744941,31.03329265939645,68.96670734060356,162.16131165250872,217.7485240160261,-29.75745182416287,-371.02191540499234,0.6093663967519694
