,bpm,ibi,sdnn,sdsd,rmssd,pnn20,pnn50,hr_mad,sd1,sd2,s,sd1/sd2,breathingrate,vlf,lf,hf,lf/hf,p_total,vlf_perc,lf_perc,hf_perc,lf_nu,hf_nu,min_lf,min_hf,lf_diff,hf_diff,lfhf_diff
rest,67.24380914032615,892.2754491017964,35.910344892625155,19.214119068038222,24.436963092110386,0.16516516516516516,0.057057057057057055,10.0,17.27946716165739,47.82680104704777,2596.280147146957,0.361292555290482,0.13333333333333333,641.5090241184859,533.9235853182058,279.4497144773999,1.9106249090885588,1454.8823239140916,44.09353344761414,36.698747145527435,19.20771940685843,65.6431168139373,34.35688318606271,447.90116989719104,257.8369570045639,0,0,0
boredom,67.62677032387568,887.2226148409894,32.10214347637004,18.883142209527687,23.45207879911715,0.15602836879432624,0.06028368794326241,10.0,16.58312319348679,42.34048403954282,2205.829895255559,0.39166116235231047,0.13333333333333333,230.36417732694628,305.93725091085975,265.04731906547937,1.1542740820377007,801.3487473032853,28.747056522166208,38.17779112282958,33.07515235500422,53.580651211562056,46.41934878843794,302.13995136049255,106.94222900760768,227.98633440734608,14.402395411920509,0.7563508270508581
flow,68.36265829877844,877.672131147541,16.94584972371343,11.430936707153686,17.07591445457882,0.15023474178403756,0.01643192488262911,6.0,12.07449490579407,20.733496815282653,786.4867305154293,0.5823665449859845,0.16010246557796992,34.59279347783964,61.33015276256323,93.46065847886794,0.6562135743611348,189.3836047192708,18.265991678169613,32.38408776381399,49.3499205580164,39.621313610731725,60.37868638926826,13.220401489462974,28.330559467590312,472.5934325556426,185.98905599853194,1.254411334727424
flow_ultra,69.08539846674987,868.4903225806452,43.6403731012015,16.237199636921677,22.26464205223802,0.18831168831168832,0.06493506493506493,8.0,15.73415348103877,59.00079399484607,2916.4270056068776,0.266676978659189,0.13333333333333333,131.74543129662086,142.68730006711135,57.28912574746958,2.4906524267114296,331.7218571112018,39.71563177775661,43.014138805836616,17.27022941640676,71.35206036706131,28.647939632938698,51.21041502225705,50.00122055357134,391.2362852510945,222.16058872993028,-0.5800275176228709
overload,70.14794615204273,855.335092348285,47.34938468732742,18.433362029181996,30.636803955598186,0.49206349206349204,0.09523809523809523,38.0,21.66345274016334,63.40581145429714,4315.25648279353,0.341663520161371,0.1233920473825462,961.870887306274,465.8322785566939,142.91566329030377,3.2594907222342133,1570.6188291532717,61.24152273310154,29.659155353933098,9.09932191296537,76.52301495152749,23.476985048472507,305.7793708679922,81.20901839712845,68.09130676151193,136.5340511870961,-1.3488658131456546
