,bpm,ibi,sdnn,sdsd,rmssd,pnn20,pnn50,hr_mad,sd1,sd2,s,sd1/sd2,breathingrate,vlf,lf,hf,lf/hf,p_total,vlf_perc,lf_perc,hf_perc,lf_nu,hf_nu,min_lf,min_hf,lf_diff,hf_diff,lfhf_diff
rest,63.47532274760259,945.2492307692307,40.89373893426313,16.680199124376095,29.679980366703433,0.5339506172839507,0.07098765432098765,28.0,20.986914928878345,53.777183128535604,3545.6554019237406,0.3902568656063008,0.22786458333333334,406.08813366588885,493.84727920948126,393.77469993098583,1.2541366403073495,1293.710112806356,31.38942253338269,38.17294727164283,30.437630194974485,55.637117017730965,44.36288298226903,854.2681194974484,433.5659037145715,0,0,0
boredom,64.29158408662445,933.2481203007519,55.51378695044604,18.991690675206915,32.32570097300639,0.5358490566037736,0.1169811320754717,38.0,22.85576861047042,75.09805546888852,5392.3043342176725,0.30434567803075896,0.26666666666666666,2305.5385105593,723.2116768077724,285.4636625848648,2.5334631744689067,3314.2138499519374,69.56517035232156,21.821515133015943,8.613314514662491,71.69915319266617,28.300846807333826,410.27922118466876,402.85033449963,-229.36439759829113,108.31103734612105,-1.2793265341615572
flow,67.42702159501646,889.8509615384615,38.79367140891844,13.164114555627236,23.0573930333413,0.3927710843373494,0.01927710843373494,28.0,16.304033272277543,52.386359488641865,2683.2623967675036,0.31122669014273646,0.29716076397330954,256.9330093035313,306.94277745207,204.29350567392842,1.5024597891133136,768.1692924295297,33.44744600385101,39.95769949112205,26.59485450502695,60.03931794027644,39.96068205972357,319.9877281818619,195.10535578485724,186.90450175741125,189.4811942570574,-0.24832314880596407
flow_ultra,61.98535444076448,967.9705882352941,46.22068883221633,21.22467182553146,37.968017730326274,0.6370370370370371,0.2074074074074074,31.0,26.844939084642412,59.40996207677913,5010.390447160628,0.45185921933343526,0.3,324.65836455103164,381.7134042908009,444.06054503774817,0.8595976574733805,1150.4323138795808,28.220553320185562,33.179996744315716,38.59944993549871,46.22492688237242,53.77507311762758,450.544698140442,434.64073425213394,112.13387491868036,-50.28584510676234,0.39453898283396904
overload,64.56747910693836,929.2603773584906,41.10910627495476,18.25532961161343,31.75020878003415,0.5378787878787878,0.0946969696969697,28.0,22.45075661712449,53.607484253583124,3780.9965510735547,0.4187989220110414,0.3,364.7200829252281,330.1164314907863,251.8665808702248,1.3106797668440182,946.7030952862391,38.52528683398396,34.87011219615527,26.604600969860783,56.72269198228952,43.277308017710475,517.8747150262463,339.2429621566878,163.73084771869497,141.90811906076104,-0.05654312653666871
