,FpZ,FC3,FC4,FCz,O1,O2,Fp2,mean_all,mean_3ch,concentration_FC3,concentration_FC4,concentration_FCz,max_concentration_FC3,max_concentration_FC4,max_concentration_FCz,concentration_mean,max_concentration_mean
rest,0.23148306587990164,0.31436109224248787,0.223917842070355,0.38821654223077745,0.1533958541087357,0.12860081329267775,0.18771506483863756,0.23252718209479614,0.30883182551454014,,,,,,,,
boredom,0.2140905884344115,0.24943519120077326,0.2892490087224218,0.3119454708918296,0.1842419293920045,0.1234338581759215,0.1749041164091907,0.17383696509864524,0.2835432236050082,0.06492590104171461,-0.06533116665206681,0.07627107133894784,0.30526450650587766,0.16963840696237303,0.24442201574299802,0.025288601909531878,0.23977497640374956
flow,0.088711610093597,0.2027330148591106,0.17401538279445536,0.2504545820731188,0.1299002516935647,0.08357476382681482,0.092462514856194,0.1762027288043761,0.2090676599088949,0.11162807738337727,0.04990245927589965,0.13776196015765863,0.291553766186559,0.3011832750592763,0.323862070838819,0.09976416560564517,0.3055330373615514
flow_ultra,0.0962873578917613,0.22646072397579725,0.14830311790592715,0.24689610368342868,0.18918273549015543,0.08610848008674575,0.14000716723374348,0.18412168069011473,0.207219981855051,0.08790036826669062,0.07561472416442785,0.14132043854734877,0.291553766186559,0.3011832750592763,0.323862070838819,0.1016118436594891,0.3055330373615514
overload,0.14548406815721973,0.2754363037856864,0.22819974004652166,0.3017200027547386,0.18627195763141347,0.17198339427241344,0.13315415075554013,0.17262152532851466,0.26845201552898224,0.038924788456801473,-0.004281897976166654,0.08649653947603886,0.298173001404727,0.20079375073675498,0.24019876479498398,0.040379809985557895,0.24638850564548864
