,bpm,ibi,sdnn,sdsd,rmssd,pnn20,pnn50,hr_mad,sd1,sd2,s,sd1/sd2,breathingrate,vlf,lf,hf,lf/hf,p_total,vlf_perc,lf_perc,hf_perc,lf_nu,hf_nu,min_lf,min_hf,lf_diff,hf_diff,lfhf_diff
rest,61.43756116212906,976.6012658227849,44.7511317830739,21.731271551966444,41.54614951692322,0.7238095238095238,0.2253968253968254,32.0,29.377547245931694,55.9510555285995,5163.850852882752,0.5250579630426329,0.2592352559948153,1201.8344860551529,493.9284063813106,583.6830292904287,0.8462271157374046,2279.4459217268923,52.72485188613957,21.6687924759853,25.606355637875126,45.835482997952376,54.16451700204762,178.2453947275135,527.6620355182998,0,0,0
boredom,60.69208555626254,988.5967741935484,38.268979974698176,21.647173214550676,41.41192302249502,0.708502024291498,0.23076923076923078,25.0,29.28250829430596,45.6101343068525,4195.84560240036,0.6420175853309542,0.3333333333333333,255.45736294103446,382.9903611095914,465.14024843299234,0.823386843860201,1103.5879724836182,23.14789299181371,34.70410793329632,42.14799907488997,45.15700256545945,54.84299743454056,677.8632440451571,156.00488686709764,110.9380452717192,118.54278085743641,0.02284027187720361
flow,62.35558509796474,962.2233502538071,38.15531794197182,20.978239984390633,39.41970935972371,0.6564885496183206,0.20610687022900764,28.0,27.87373474563547,46.23314020809267,4048.5399371921017,0.6028951228529452,0.3429083907045449,921.2372798771464,151.3665552686446,481.2171746459335,0.3145493620006725,1553.8210097917245,59.28850711065039,9.741569609033276,30.969923280316323,23.928303576363657,76.07169642363635,167.6155240909444,314.3092292523199,342.561851112666,102.46585464449527,0.5316777537367321
flow_ultra,63.337731786929645,947.3026315789474,36.70455290016632,18.50319274471757,34.14926332192927,0.6357615894039735,0.11258278145695365,21.0,24.136404616383896,45.130525727501585,3422.101156104687,0.5348132827461322,0.3333333333333333,435.82857739344945,133.59454896223022,301.6422005384074,0.4428907782922103,871.0653268940871,50.03397149872342,15.336915020895328,34.629113480381264,30.69468493078949,69.30531506921051,220.89849464475589,299.4143252844526,360.33385741908035,282.04082875202135,0.4033363374451943
overload,61.74207643352437,971.7846153846153,29.306073042285337,18.945195669548415,35.1374725230578,0.6327160493827161,0.15432098765432098,20.0,24.845938960376206,33.23627043315858,2594.284319450918,0.7475549643978208,0.34828863629167583,260.4619395203772,174.78620428040648,304.4832661174687,0.5740420697306055,739.7314099182524,35.210339324263764,23.628333464942642,41.16132721079359,36.469296518157975,63.53070348184202,132.3314305321055,124.95107473674662,319.1422021009041,279.19976317296005,0.27218504600679916
