,bpm,ibi,sdnn,sdsd,rmssd,pnn20,pnn50,hr_mad,sd1,sd2,s,sd1/sd2,breathingrate,vlf,lf,hf,lf/hf,p_total,vlf_perc,lf_perc,hf_perc,lf_nu,hf_nu,min_lf,min_hf,lf_diff,hf_diff,lfhf_diff
rest,62.661452470344805,957.5264797507788,91.0840224356586,39.95949316182576,66.64570503790922,0.75,0.46875,58.0,47.125622509151,120.09740025027602,17780.361195747028,0.3923950261283253,0.1301405517959396,2326.1481077493877,2301.247175466248,1282.5113151794717,1.7943289452726712,5909.906598395108,39.36015009748336,38.93880786696653,21.701042035550106,64.21323260127416,35.78676739872584,2879.693309761472,657.495729474802,0,0,0
boredom,59.79921078006369,1003.3577235772358,68.94909517099698,35.90403832193996,60.09416479139475,0.7489711934156379,0.411522633744856,40.0,42.48133617463605,85.48039897911855,11408.133152600993,0.49697166463873826,0.26666666666666666,1047.8079374358927,2331.0321487655165,1236.1544765054384,1.8857126621870557,4614.994562706847,22.704424094084274,50.50996522514403,26.785610680771697,65.34651515712208,34.65348484287791,404.2036419292026,772.1746289409792,-29.784973299268586,46.35683867403327,-0.09138371691438452
flow,63.09131033277252,951.0025974025974,64.34535467753811,39.62777658515972,72.89904548986449,0.7942708333333334,0.5911458333333334,44.0,51.54668896896477,74.93111275021953,12134.246941999894,0.6879210394324987,0.0,2.3163131994286286e+21,2459801336254314.5,2.7665128173200476e+16,0.08891342634866778,2.316343324358138e+21,99.99869946181154,0.00010619329658033008,0.00119434489189406,8.165334745371933,91.83466525462806,495.69504410918057,1174.4219397494867,-2459801336252013.5,-2.766512817319919e+16,1.7054155189240034
flow_ultra,65.50711542805512,915.9310344827586,63.30110367533928,44.38980451411689,81.1043343075958,0.808695652173913,0.6260869565217392,45.0,57.34780960542994,69.08029245228343,12445.744323359022,0.8301616505900348,0.3333333333333333,773.4225025631426,826.7704456815814,2472.307552991835,0.3344124579812388,4072.500501236559,18.991342108571956,20.30129757947344,60.7073603119546,25.060651673407897,74.9393483265921,855.0786705738433,2503.5552755788585,1474.4767297846665,-1189.7962378123634,1.4599164872914323
overload,60.77578502055651,987.2352941176471,67.64164172683665,46.466044485981904,87.50396535473327,0.8259587020648967,0.6607669616519174,46.0,61.8746270318601,73.12176340457525,14213.764746086625,0.8461861988955889,0.3277125662873145,419.93704250161886,1018.5079031475013,2292.174399832243,0.4443413656578848,3730.6193454813633,11.256496672871734,27.30130867897708,61.442194648151194,30.764289954092067,69.23571004590794,670.6035218228255,1902.586576348327,1282.7392723187465,-1009.6630846527714,1.3499875796147864
